Track 	Length	Distance	#Frames	1stFrame	time(s)	MaxSpeed	AvgArea	StdArea	AvgPerim	StdPerim	AvgSpeed	BLPS	avgX	avgX	Bends	BBPS
1	362.4465	161.18504	501	0	16.7	96.97031021118164	222.40918	32.857788	119.60283	15.982629	21.703382	0.36292425	913.6468	136.3204	27.5	1.6467065868263473
2	871.2279	73.83804	966	0	32.2	105.70261716842651	190.60869	12.832281	114.827194	7.325159	27.056768	0.4712606	762.7873	172.52081	45.5	1.4130434782608696
3	1185.2557	155.01115	1802	0	60.066666	74.70455646514893	223.57658	6.1070375	126.18928	3.1794653	19.732336	0.31274188	750.54004	388.50986	116.5	1.939511653718091
4	1231.4695	110.87154	1550	0	51.666668	98.27512979507446	249.93355	23.009361	132.9469	11.174591	23.834892	0.3585626	1804.9971	364.30783	92.0	1.7806451612903227
5	1287.4647	143.4938	1802	0	60.066666	83.06947231292725	206.6909	7.0238285	124.82519	4.3785944	21.43393	0.34342316	1363.5631	372.83658	103.0	1.7147613762486127
6	989.67004	200.34966	1802	0	60.066666	65.66722869873047	218.41344	6.610064	123.51169	2.9719522	16.476194	0.2667957	1374.7	468.0761	100.5	1.6731409544950056
7	680.85974	57.608517	1141	0	38.033333	72.01813459396362	229.31026	8.07629	128.98112	2.7276478	17.901659	0.27758572	1757.4675	512.0155	63.5	1.6695880806310255
8	1443.8422	128.49875	1802	0	60.066666	78.98714303970337	211.26305	5.5697746	122.15008	2.3644884	24.037327	0.3935704	1140.7544	546.4179	103.5	1.723085460599334
9	322.19403	26.113201	403	0	13.433333	68.36419343948364	205.09926	6.217859	118.67682	2.414353	23.984667	0.4042014	1807.9011	634.868	25.0	1.8610421836228288
10	319.7486	128.98152	259	0	8.633333	84.21192169189453	231.60617	7.6916924	130.24263	3.1581736	37.036514	0.56873107	1332.8391	783.07367	17.5	2.027027027027027
11	291.26797	85.00684	259	0	8.633333	77.51816511154175	223.35521	5.7314987	125.943726	2.7502425	33.737602	0.53575677	1189.3654	795.8485	15.0	1.7374517374517375
12	1464.9254	81.37881	1802	0	60.066666	139.761700630188	238.80411	7.57109	131.15683	3.2073069	24.388325	0.3718956	1450.9045	767.45776	108.0	1.798002219755827
13	715.3146	78.912926	1024	0	34.133335	93.0751633644104	221.17578	5.801065	123.02588	5.5687504	20.956482	0.34068415	1090.1895	800.46265	54.0	1.58203125
14	199.3982	97.24096	239	0	7.9666667	127.98614501953125	235.6318	5.9548717	129.63837	2.417118	25.029062	0.38613668	1210.6097	827.6353	14.5	1.8200836820083681
15	1640.222	437.56552	1802	0	60.066666	129.3235158920288	257.4656	7.7497783	137.43497	5.7817984	27.306694	0.3973762	662.6521	996.57666	108.5	1.8063263041065483
